"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101230808,24,2,9,2,1,0,1,0,999,2,1,1,6,13582935.55703500,80,1,100,100,999,1,21,5,99,999,99,9999,99999.99,1,75,2,100,100,32,4,999,99999.98,2,0,0,0,0,0,194,120,612,451,63,0,0
2023,20230101230812,25,3,16,4,1,1,1,1,6,3,1,1,5,15869612.75463600,47,1,100,100,999,1,41,1,0,999,1,40,1538.46,1,44,2,100,100,32,1,40,1153.0,1,0,30,0,0,0,90,0,142,480,98,0,600
2023,20230101230827,26,3,16,6,1,0,1,0,999,6,1,1,3,38923134.66706700,19,1,100,100,999,6,30,1,0,999,2,30,350.0,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,0,240,75,0,404,690,31,0,0
2023,20230101230865,27,4,12,3,2,0,1,0,999,3,1,1,1,4792065.802867000,64,1,110,100,999,6,31,1,0,999,1,40,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,1,0,215,0,0,15,15,260,450,0,0,435
2023,20230101230866,28,4,15,1,2,0,1,0,999,1,1,1,2,7139686.982901000,72,2,100,100,999,4,41,1,0,999,1,40,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,15,0,50,250,300,585,0,0,240
2023,20230101230884,29,4,7,3,1,1,5,1,9,2,1,1,4,13408607.28117800,26,2,120,100,999,6,30,1,0,999,1,40,720.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,45,0,300,615,0,0,480
2023,20230101230886,30,4,13,1,1,0,1,0,999,1,1,1,1,2969199.578349000,74,2,100,100,999,3,32,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,0,90,0,90,275,415,570,0,0,0
2023,20230101230894,31,4,3,1,2,0,1,0,999,1,1,1,1,2868645.037686000,22,2,100,210,999,6,30,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,60,0,20,430,150,780,0,0,0
2023,20230101230898,32,4,14,4,2,1,1,2,7,2,1,1,2,20558567.53662300,38,2,100,210,999,1,21,1,0,999,1,40,900.0,1,41,1,100,210,21,1,55,99999.98,1,0,123,220,30,0,30,0,215,397,30,0,395
2023,20230101230903,33,2,14,3,1,0,1,0,999,3,1,1,1,4323459.828409000,63,1,100,100,999,1,40,5,99,999,99,9999,99999.99,1,61,2,100,100,30,1,40,480.76,1,0,0,0,0,0,35,90,210,470,0,635,0
